Label,DeltaG_3,logTOF,NCBG_HOMO,NCBG_LUMO,NCBG_I,NCBG_A,NCBG_Hardness,NCBG_Softness,NCBG_Electronegativity,NCBG_E_index,NCBG_N_index,NCBG_PEX,CBG_HOMO,CBG_LUMO,CBG_NBO_N,CBG_NI_rel,CBG_NBO_N-1,CBG_fk-,CBG_Nk,CBG_ENF,BB_HOMO,BB_LUMO,BB_wL,BB_wB1,BB_wB5,BB_vNH,BB_iNH,BB_NBO_N
Cat50,4.40197896,-0.087778474,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-9.769981056,2.95379747,4.4,1.55,3.67,3261.9883,13.2377,-0.52928
Cat51,5.740456668,-3.983213529,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat52,5.754889386,-0.615817138,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat53,-3.181473033,0.645864094,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.836630036,2.970940652,-0.62607,2.098543168,-0.04408,-0.58199,-1.221331138,2.589731599,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat54,0.424196404,2.719381774,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.752818924,2.426984766,-0.6274,2.18235428,-0.55473,-0.07267,-0.158591686,6.977277841,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
Cat55,4.476652587,0.92414231,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-9.769981056,2.95379747,4.4,1.55,3.67,3261.9883,13.2377,-0.52928
Cat56,3.968369914,0.667022438,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.752818924,2.426984766,-0.6274,2.18235428,-0.55473,-0.07267,-0.158591686,6.977277841,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat57,1.1326546,1.977459853,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat58,-2.853913088,4.544978862,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat59,-3.223516168,2.736860405,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat60,-0.463101992,3.099312032,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.569686202,1.251996514,-0.83009,2.365487002,-0.76793,-0.06216,-0.147038672,6.576299288,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat61,-3.815885111,3.059295165,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat62,3.271206888,0.719918297,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat63,0.853412884,1.83533098,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.836630036,2.970940652,-0.62607,2.098543168,-0.04408,-0.58199,-1.221331138,2.589731599,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat64,-2.963727246,4.841655637,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.61512924,2.825359662,-0.63201,2.320043964,-0.05689,-0.57512,-1.334303685,1.86056559,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat65,-1.895078612,0.366205987,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat66,-4.661767882,2.696843538,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
Cat67,3.56676385,-0.452989885,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat68,6.592614534,-2.367819987,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat69,-3.966487385,-1.060142355,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat70,-3.839102962,-0.593738866,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat71,-3.677833027,3.668747455,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat72,1.191012982,-3.851663827,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat73,6.602654685,-3.05592612,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat74,4.827430383,-3.29556736,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat75,7.769822307,-2.53524688,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat76,0.931851569,-1.355439238,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
Cat77,-0.446159236,-0.734027884,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat78,4.009158029,-0.552802071,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat79,2.948667019,0.657363194,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat80,-3.667165366,1.67066387,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.61512924,2.825359662,-0.63201,2.320043964,-0.05689,-0.57512,-1.334303685,1.86056559,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat81,-5.581696771,6.152553016,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat82,2.011167864,0.168881434,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat83,6.449542374,-1.009546316,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-8.569686202,1.251996514,-0.83009,2.365487002,-0.76793,-0.06216,-0.147038672,6.576299288,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat84,1.195405548,0.651383662,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat85,5.864703544,-2.331482831,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat86,-0.745481255,1.084209779,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat87,2.801202292,2.936024814,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-9.769981056,2.95379747,4.4,1.55,3.67,3261.9883,13.2377,-0.52928
Cat88,-1.135792148,1.083749816,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-8.836630036,2.970940652,-0.62607,2.098543168,-0.04408,-0.58199,-1.221331138,2.589731599,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat89,-2.446659439,4.605694109,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat90,2.484310008,1.917204571,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
Cat91,5.023213339,1.442061766,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat92,-4.23506144,5.083596697,-7.995797776,-0.960018192,6.103598654,2.88538801,1.609105322,0.62146336,4.494493332,6.276926078,0.159313649,4.090106751,-8.61512924,2.825359662,-0.63201,2.320043964,-0.05689,-0.57512,-1.334303685,1.86056559,-9.769981056,2.95379747,4.4,1.55,3.67,3261.9883,13.2377,-0.52928
Cat93,-3.121859633,2.717081954,-7.995797776,-0.960018192,6.103598654,2.88538801,1.609105322,0.62146336,4.494493332,6.276926078,0.159313649,4.090106751,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat94,2.263426673,3.297096549,-7.995797776,-0.960018192,6.103598654,2.88538801,1.609105322,0.62146336,4.494493332,6.276926078,0.159313649,4.090106751,-8.752818924,2.426984766,-0.6274,2.18235428,-0.55473,-0.07267,-0.158591686,6.977277841,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat95,2.771709347,2.979721394,-7.995797776,-0.960018192,6.103598654,2.88538801,1.609105322,0.62146336,4.494493332,6.276926078,0.159313649,4.090106751,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat96,-0.24974877,-1.527925736,-10.3558425,2.54018419,8.467779509,-0.1444109,4.306095204,0.232228957,4.161684305,2.011058213,0.497250648,10.70029155,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat97,1.570656214,-2.593662307,-10.3558425,2.54018419,8.467779509,-0.1444109,4.306095204,0.232228957,4.161684305,2.011058213,0.497250648,10.70029155,-8.836630036,2.970940652,-0.62607,2.098543168,-0.04408,-0.58199,-1.221331138,2.589731599,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat98,7.985685566,-2.40737689,-10.3558425,2.54018419,8.467779509,-0.1444109,4.306095204,0.232228957,4.161684305,2.011058213,0.497250648,10.70029155,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat99,9.004760952,-4.353944508,-10.3558425,2.54018419,8.467779509,-0.1444109,4.306095204,0.232228957,4.161684305,2.011058213,0.497250648,10.70029155,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat100,-5.018193264,0.726357793,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745